has_driver	CADD_score_norm_sum
Passengers in absence of driver	0.48349264194796754
Drivers	0.17197688044331758
Passengers in absence of driver	0.053614738960367635
Passengers in absence of driver	0.014298209775212166
Passengers in absence of driver	0.2676689438139622
Drivers	0.4291371157340243
Drivers	0.21481153988547827
Passengers in absence of driver	0.1352372388025029
Passengers in absence of driver	0.08830546947980318
Passengers in absence of driver	0.16549552465183434
Drivers	0.2755166498154511
Passengers in absence of driver	0.2840342384442315
Passengers in absence of driver	0.04963173865646553
Passengers in absence of driver	0.059538387086020904
Passengers in absence of driver	0.0474704108559269
Passengers in absence of driver	0.08552999236544327
Drivers	0.06344077185349734
Passengers in presence of driver	0.0618997237641155
Drivers	0.2766793664649178
Passengers in presence of driver	0.059254824522323606
Passengers in absence of driver	0.502170840235027
Passengers in absence of driver	0.019192830352821676
Passengers in absence of driver	0.1475160245251717
Passengers in absence of driver	0.03400778955981435
Passengers in absence of driver	0.04320867471154925
Passengers in absence of driver	0.1735026181792791
Drivers	0.27827633805054464
Passengers in absence of driver	0.09071788116317467
Passengers in absence of driver	0.04880271355348806
Passengers in absence of driver	0.1890976168934713
Passengers in absence of driver	0.07270917710920743
Passengers in absence of driver	0.14306360628759177
Drivers	0.13640185962209983
Passengers in absence of driver	0.043411887311316975
Passengers in absence of driver	0.07135804404328965
Passengers in absence of driver	0.06234715783812746
Passengers in absence of driver	0.44817445845148496
Drivers	0.16194459525243288
Passengers in absence of driver	0.12204289005532436
Passengers in absence of driver	0.1510711758668606
Passengers in absence of driver	0.3063781251973007
Drivers	0.3010299956639812
Passengers in absence of driver	0.14463989968771535
Drivers	0.22803975328793744
Passengers in absence of driver	0.06428076243351381
Passengers in absence of driver	0.5683996812648587
Drivers	0.2405662689574578
Passengers in absence of driver	0.5102009404618982
Drivers	0.18183312759856318
Passengers in absence of driver	0.00552541590160379
Passengers in absence of driver	0.24411331341201423
Drivers	0.2701151541025203
Passengers in absence of driver	0.3223955282868415
Drivers	0.2850914940877588
Drivers	0.2563972085677569
Passengers in absence of driver	0.13415018973249704
Passengers in presence of driver	0.08465259333992614
Passengers in absence of driver	0.4440409440268208
Passengers in presence of driver	0.2658478464836797
Passengers in absence of driver	0.043679121766943385
Passengers in absence of driver	0.19014839449640009
Passengers in absence of driver	0.03625148186343484
Passengers in absence of driver	0.08665508846878861
Passengers in absence of driver	0.11184526909066972
Passengers in absence of driver	0.07250485948043535
Drivers	0.1859075713512826
Passengers in absence of driver	0.4195838917119872
Passengers in absence of driver	0.06751842213696267
Drivers	0.2701151541025203
Passengers in absence of driver	0.6804946548509436
Drivers	0.1918562848608333
Passengers in absence of driver	0.10463340674075082
Passengers in absence of driver	0.10369828141259177
