driver_status	adj_splicing_density
Passengers in presence of driver	5.063824315071554
Passengers in absence of driver	2.1793836061367426
Drivers	11.815065863084653
Passengers in absence of driver	5.289890355649115
Drivers	7.73217179617655
Passengers in absence of driver	4.694366775220315
Drivers	13.851873604423734
Drivers	2.2622929366134965
Passengers in presence of driver	2.2622929366134965
Passengers in absence of driver	1.4603642996254034
Passengers in absence of driver	1.2125793560646931
Drivers	1.0622791034174486
Passengers in presence of driver	1.0622791034174486
Passengers in absence of driver	0.4489534448911803
Passengers in absence of driver	0.7226709774249427
Passengers in absence of driver	1.0782690908044597
Drivers	3.793029189919911
Passengers in presence of driver	11.379087569759733
Passengers in absence of driver	0.5427100032435335
Drivers	0.053792996818591864
Passengers in presence of driver	0.9144809459160617
Passengers in absence of driver	0.5599330755949488
Passengers in absence of driver	0.7121382643890636
Drivers	0.16172635790511122
Passengers in presence of driver	1.1320845053357784
Drivers	0.12171148017946955
Passengers in presence of driver	0.6896983876836608
Passengers in absence of driver	2.1534610394238136
Drivers	0.0637860277644315
Passengers in presence of driver	0.28703712493994177
Passengers in absence of driver	2.763691155195361
Drivers	1.5934943247409898
Passengers in absence of driver	0.8034369425528526
Passengers in absence of driver	10.832857652398012
Passengers in absence of driver	1.5150885937804692
Passengers in absence of driver	1.567432978946359
Drivers	74.10582979447119
Passengers in absence of driver	4.380602852650768
Passengers in absence of driver	2.794847219833938
Drivers	8.170391972205879
Passengers in absence of driver	1.7857510600286652
Drivers	3.2224608031498976
Drivers	58.54770943064548
Passengers in absence of driver	1.140926808789352
Drivers	6.4604471739833755
Drivers	10.006077441285901
Passengers in absence of driver	0.9719845596577382
Passengers in absence of driver	3.9464682303511083
Passengers in absence of driver	4.670874485251933
Passengers in absence of driver	2.6045614438260696
Passengers in absence of driver	2.2383206685073525
Passengers in absence of driver	1.5434597895984168
Passengers in absence of driver	2.7210265111968375
Passengers in absence of driver	0.16415157461090887
Drivers	0.07126408277143344
Passengers in presence of driver	0.14252816554286687
Passengers in absence of driver	0.7981002309418743
Passengers in absence of driver	3.131625804577057
Passengers in absence of driver	1.5142057474037518
Passengers in absence of driver	0.7624785498879091
Passengers in absence of driver	1.1782030127472833
Passengers in absence of driver	2.9580131749309926
Passengers in absence of driver	1.469687060162571
Drivers	0.6984400274979243
Passengers in presence of driver	1.0476600412468866
Passengers in absence of driver	0.5683365930278627
Passengers in absence of driver	0.21639557222099817
Passengers in absence of driver	0.1866700453524868
Passengers in absence of driver	1.2671007120155675
Passengers in absence of driver	0.2172224368797373
Passengers in absence of driver	0.18727266331162185
Passengers in absence of driver	0.7013652302369439
Drivers	1.0624757523111903
Passengers in absence of driver	2.5324694227956215
Passengers in absence of driver	2.7507807478927195
Drivers	11.936542950367258
Passengers in absence of driver	11.26589171085472
Drivers	84.82091098400579
Drivers	24.960894468661106
Passengers in presence of driver	24.960894468661106
Passengers in absence of driver	8.483580095897727
Passengers in absence of driver	0.47798881200416443
Passengers in absence of driver	2.6965190290745205
Passengers in absence of driver	5.8830114983713315
Drivers	2.8885851060219054
Drivers	2.513785908288713
