driver_status	type	adj_splicing_density
Passengers in absence of driver	TSG	2.0573391849065943
Drivers	OG	5.426886249564217
Passengers in presence of driver	OG	2.7134431247821085
Drivers	TSG	20.097525629699284
Passengers in absence of driver	OG	4.290153378758239
Passengers in absence of driver	TSG	1.98702056064185
Drivers	TSG	7.890328808691675
Passengers in absence of driver	OG	7.8871852513973755
Passengers in absence of driver	OG	3.117555159543998
Passengers in absence of driver	TSG	3.0845579034636246
Drivers	OG	3.7145025234966225
Passengers in presence of driver	OG	7.429005046993245
Drivers	OG	5.753100196474844
Passengers in presence of driver	OG	5.753100196474844
Passengers in absence of driver	TSG	2.5148376746807073
Passengers in absence of driver	TSG	12.40090365229903
Drivers	TSG	74.78153858809183
Drivers	TSG	16.888753778858657
Passengers in absence of driver	TSG	1.4504420754582528
Drivers	TSG	8.683711032972909
Passengers in absence of driver	TSG	2.832570646942021
Passengers in absence of driver	TSG	1.4468834241820132
Passengers in absence of driver	TSG	0.7438657068861743
Drivers	TSG	16.130840473246597
Passengers in absence of driver	TSG	2.8380287336219134
Passengers in absence of driver	OG	40.74642354633951
Passengers in absence of driver	TSG	3.2772728501704593
Drivers	TSG	9.482717746906264
Passengers in absence of driver	TSG	3.428496605918625
Drivers	TSG	13.619283468557072
Passengers in absence of driver	TSG	0.989721805240226
Drivers	TSG	85.84906875222671
Passengers in absence of driver	TSG	6.727241290988843
Passengers in absence of driver	TSG	4.358175052832626
Drivers	TSG	13.501097976792963
Passengers in absence of driver	TSG	2.7835324629399554
Drivers	TSG	8.048176383833628
Passengers in absence of driver	TSG	4.54890204459159
Drivers	OG	8.484291773903253
Passengers in absence of driver	TSG	2.060397956205838
Drivers	TSG	3.346265121293672
Drivers	TSG	75.99633089714429
Passengers in absence of driver	TSG	2.0376105396607356
Drivers	TSG	1.0948282116275125
Passengers in presence of driver	TSG	3.284484634882537
Drivers	OG	1.4439787592890476
Passengers in presence of driver	OG	5.7759150371561905
Passengers in absence of driver	TSG	5.347523200045583
Passengers in absence of driver	OG	2.8537959283357437
Passengers in absence of driver	OG	1.42066384995256
Passengers in absence of driver	TSG	0.5287038187077989
Passengers in absence of driver	TSG	0.9511057294920185
Drivers	TSG	20.624871739078873
Passengers in absence of driver	TSG	2.1766064120363975
Drivers	OG	7.100360092987025
Passengers in absence of driver	TSG	5.517798892834835
Drivers	TSG	12.720008446085608
Passengers in absence of driver	TSG	0.40082295807365104
Passengers in absence of driver	OG	0.3480232282700648
Passengers in absence of driver	OG	2.8962699187747725
Drivers	OG	2.8769192004404305
Passengers in absence of driver	OG	0.8527204156351594
Passengers in absence of driver	TSG	2.3886003540525267
Passengers in absence of driver	TSG	20.855957158735603
Drivers	OG	13.157896900969885
Passengers in absence of driver	TSG	0.958612855563775
Drivers	TSG	5.189568280139123
Drivers	TSG	23.57184107864745
Drivers	TSG	20.782648026813565
Drivers	TSG	0.6923125589654235
Passengers in presence of driver	TSG	0.34615627948271177
Passengers in absence of driver	TSG	1.3394875015634498
Passengers in absence of driver	TSG	2.9231477337060565
Drivers	TSG	0.8209222523287762
Drivers	TSG	1.86437944596236
Drivers	OG	5.963428647658228
Drivers	OG	29.2229767554233
Drivers	TSG	21.816579291266606
Drivers	TSG	16.77844492894651
Drivers	OG	13.123414476225253
Passengers in absence of driver	TSG	1.0503399758650713
Passengers in absence of driver	OG	26.641910115723466
Drivers	OG	5.356422155324378
Passengers in absence of driver	OG	5.690612225464712
Drivers	OG	26.24842341305559
Passengers in absence of driver	TSG	11.223198637775848
Drivers	TSG	41.93514276747279
Passengers in absence of driver	OG	1.08150886606706
Drivers	OG	1.5443747265431174
Drivers	TSG	1.3671128531683354
Passengers in presence of driver	TSG	2.734225706336671
Drivers	TSG	10.43247839172913
Passengers in presence of driver	TSG	5.216239195864565
Passengers in absence of driver	OG	35.50000987344025
Passengers in absence of driver	TSG	2.855298905109937
Passengers in absence of driver	OG	1.4296154231043432
Drivers	TSG	8.261745310220274
Drivers	OG	234.3776321706738
Passengers in absence of driver	TSG	12.847036340271181
Passengers in absence of driver	TSG	1.1741481310884336
Drivers	TSG	39.79682576289302
Passengers in absence of driver	TSG	0.29955805324197904
Drivers	OG	0.2600977779431812
Passengers in absence of driver	OG	2.3027118227733596
Passengers in absence of driver	OG	1.2745740358536186
Passengers in absence of driver	TSG	9.48742896094852
Drivers	TSG	1.4105799585305538
Passengers in presence of driver	TSG	1.4105799585305538
Passengers in absence of driver	TSG	1.3347975678898785
Drivers	OG	4.240848673971701
Drivers	TSG	7.597309185032845
Drivers	TSG	8.326579263258022
Passengers in presence of driver	TSG	8.326579263258022
Drivers	TSG	78.04195974742045
Drivers	OG	15.530149309767367
Passengers in absence of driver	TSG	1.5085896972963326
Drivers	TSG	27.821635494842564
Passengers in absence of driver	TSG	3.4425143092477644
Drivers	TSG	12.885257211357011
Passengers in absence of driver	OG	5.091105969762289
Passengers in absence of driver	TSG	0.3390145536312036
