cancer_type	has_driver	adj_passenger_density
Skin-Melanoma	False	4.2630871250350815
Skin-Melanoma	False	10.70296692955179
Skin-Melanoma	False	5.317762657388148
Skin-Melanoma	True	3.7907440270748216
Skin-Melanoma	False	2.0564099617890497
Skin-Melanoma	False	0.7829832107616663
Lung-AdenoCA	False	0.5538814043705306
Lung-AdenoCA	False	3.7597008160834635
Lung-AdenoCA	False	0.6445354859830219
Lung-AdenoCA	False	0.5556694731572197
Lung-AdenoCA	False	2.0810685397689266
Lung-AdenoCA	True	0.0
Panc-AdenoCA	False	2.5401764599332943
Panc-AdenoCA	False	2.6780006351550014
Panc-AdenoCA	True	0.0
Lymph-CLL	False	68.90131399428115
CNS-Medullo	True	0.0
CNS-Medullo	True	237.16263070138385
Lung-SCC	False	8.85734457668159
Lung-SCC	False	0.49904775623758096
Lung-SCC	False	2.8153206462494684
Lung-SCC	False	6.142201688512583
Lung-SCC	True	0.0
Liver-HCC	True	0.0
Liver-HCC	False	5.911884587012173
Liver-HCC	False	3.1054401247280894
Liver-HCC	False	2.8766213386351898
Liver-HCC	True	0.0
Prost-AdenoCA	False	7.537439641963717
Prost-AdenoCA	False	1.293233352513201
Prost-AdenoCA	False	3.9877906129925593
Prost-AdenoCA	False	2.338176862950596
Prost-AdenoCA	False	2.2227703239598875
Prost-AdenoCA	False	3.3957141627125655
Prost-AdenoCA	False	2.272211649543796
Prost-AdenoCA	False	1.7357371444378604
Prost-AdenoCA	False	3.7888778109954613
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	1.8447180425013383
Prost-AdenoCA	False	4.114588395299289
Prost-AdenoCA	False	12.687669203099318
Prost-AdenoCA	False	7.439210694464065
Prost-AdenoCA	False	11.78671655635796
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	3.4336487621560643
Prost-AdenoCA	False	1.6585398044381192
Prost-AdenoCA	False	5.548985109314953
Prost-AdenoCA	False	2.851791427478899
Prost-AdenoCA	False	6.093356502254079
Prost-AdenoCA	False	4.626423458054366
Prost-AdenoCA	False	6.344446167768018
Prost-AdenoCA	False	19.543406360968945
Prost-AdenoCA	False	2.4366244712642593
Prost-AdenoCA	False	4.707806714070751
Prost-AdenoCA	False	0.6562888754113466
Prost-AdenoCA	False	4.047440644321144
Prost-AdenoCA	False	8.756260866477804
Prost-AdenoCA	False	1.5040125933183262
Prost-AdenoCA	False	13.86861193137789
Prost-AdenoCA	False	15.027901650808916
Prost-AdenoCA	False	6.3515018403404415
Prost-AdenoCA	False	6.071500629568333
Prost-AdenoCA	False	6.24065594202803
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	3.659108200351322
Prost-AdenoCA	False	4.0582544418424
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	42.767389598989766
Prost-AdenoCA	False	18.673371829044786
Prost-AdenoCA	True	5.02028473410034
Prost-AdenoCA	False	3.977080070946594
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	5.920868178316057
Prost-AdenoCA	False	3.7732340870853727
Prost-AdenoCA	False	5.817537663972754
Prost-AdenoCA	False	1.6213301214796871
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	12.942410227618632
Prost-AdenoCA	True	0.0
Prost-AdenoCA	False	8.002905117383069
Prost-AdenoCA	False	3.718800082858934
Prost-AdenoCA	False	2.1305869892840374
Prost-AdenoCA	False	3.7206250008359656
Prost-AdenoCA	False	15.71704081292578
Prost-AdenoCA	False	10.535010358077807
Prost-AdenoCA	False	195.6741128871287
Prost-AdenoCA	False	3.268048387818981
Prost-AdenoCA	False	1.0355819083965319
Prost-AdenoCA	True	0.0
