cancer_gene_type	mutation_count_bin	gene_exp	TMB_group
TSG	0-2	0.11163544034739828	Medium (5-10/Mb)
TSG	20+	0.0004781322368570446	Medium (5-10/Mb)
TSG	0-2	0.2445103913798465	Medium (5-10/Mb)
TSG	0-2	0.05841182166472122	Low (0-5/Mb)
TSG	0-2	0.0795426844196598	Low (0-5/Mb)
TSG	10-20	0.016748345400861765	Low (0-5/Mb)
TSG	0-2	0.0010752222852599413	Low (0-5/Mb)
TSG	3-5	0.08102550749769018	High (>=10/Mb)
TSG	20+	0.0007540854893137624	High (>=10/Mb)
TSG	0-2	0.06934853401050158	High (>=10/Mb)
TSG	0-2	0.06344939920732058	Low (0-5/Mb)
TSG	0-2	0.05431266249137567	Low (0-5/Mb)
TSG	0-2	0.04431331556860731	Low (0-5/Mb)
TSG	3-5	0.0005075593451482668	Low (0-5/Mb)
TSG	5-10	0.00036616174761231753	Low (0-5/Mb)
TSG	0-2	0.19933658145974034	Low (0-5/Mb)
TSG	0-2	0.07668965921132989	Low (0-5/Mb)
TSG	5-10	0.0011208526373300744	Low (0-5/Mb)
TSG	10-20	0.0047436789562033625	Low (0-5/Mb)
TSG	0-2	0.11384526936621467	Low (0-5/Mb)
TSG	0-2	0.22946232786951634	Low (0-5/Mb)
TSG	0-2	0.1226450351800249	Low (0-5/Mb)
TSG	10-20	0.0008381810252659302	Low (0-5/Mb)
TSG	0-2	0.3568645270021581	Low (0-5/Mb)
TSG	0-2	0.061335286993740815	Low (0-5/Mb)
TSG	0-2	0.0005868205674650278	Low (0-5/Mb)
TSG	5-10	0.0	Low (0-5/Mb)
TSG	0-2	0.0008040739870547788	Low (0-5/Mb)
TSG	0-2	0.2952219593672455	Low (0-5/Mb)
TSG	5-10	0.000885807105434976	Low (0-5/Mb)
TSG	5-10	4.311437968658562e-05	Low (0-5/Mb)
TSG	3-5	0.001073503350441553	Low (0-5/Mb)
TSG	0-2	0.18319743908500433	Low (0-5/Mb)
TSG	0-2	0.011754914210123028	Medium (5-10/Mb)
TSG	0-2	0.013672130542551333	Medium (5-10/Mb)
TSG	0-2	0.024050396676551684	Medium (5-10/Mb)
TSG	10-20	0.006591341854193178	Medium (5-10/Mb)
TSG	0-2	0.18503297974305757	Low (0-5/Mb)
TSG	3-5	0.00026356105933887316	Low (0-5/Mb)
TSG	3-5	0.0	Low (0-5/Mb)
TSG	0-2	0.43927439016994985	Low (0-5/Mb)
TSG	3-5	0.6823039866984927	Low (0-5/Mb)
TSG	0-2	0.10084484472934402	Low (0-5/Mb)
