cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	0-2	0.23481021500402832	Q1
TSG	0-2	0.14669322494354647	Q1
TSG	5-10	0.015525305454517519	Q3
TSG	0-2	0.2709785374178136	Q2
TSG	5-10	0.0031600767458195267	Q3
TSG	0-2	0.0005047512944947841	Q3
TSG	0-2	0.06312731465194227	Q2
TSG	10+	0.0008356824794908047	Q3
TSG	0-2	0.4748113044651007	Q2
TSG	10+	0.001760081608169303	Q3
TSG	2-5	0.06153034683139372	Q2
TSG	0-2	0.16866211571500658	Q1
TSG	5-10	0.08617414985283721	Q2
TSG	0-2	0.12244768255278812	Q1
TSG	10+	0.005415320404306223	Q3
TSG	0-2	0.10596651933641989	Q1
TSG	0-2	0.04807238689739259	Q2
TSG	5-10	0.00938477952291395	Q3
TSG	0-2	0.2288628006776499	Q2
TSG	0-2	0.1924140076412942	Q1
TSG	0-2	0.0012312617623047746	Q3
TSG	5-10	0.001534848899022599	Q3
TSG	0-2	0.09655160118610616	Q2
TSG	5-10	0.12774203251059493	Q2
TSG	10+	0.00011470962267259345	Q3
TSG	2-5	0.000722075101663624	Q3
TSG	5-10	0.0	Q3
TSG	5-10	0.0001048151370152804	Q3
TSG	0-2	0.051633418881923146	Q1
TSG	5-10	0.0	Q3
TSG	0-2	0.0001114115911276704	Q3
TSG	0-2	0.10593613617467626	Q1
TSG	0-2	0.08301930934728875	Q2
TSG	0-2	0.11637109949476021	Q1
TSG	10+	0.0001964735743323207	Q3
TSG	0-2	0.09107911783767185	Q1
TSG	5-10	0.001394103091434865	Q3
TSG	0-2	0.020473392185806797	Q2
TSG	0-2	0.031010029489376215	Q1
TSG	0-2	0.03579281488109171	Q2
TSG	10+	0.0004118467437546315	Q3
TSG	2-5	0.0014382672437503279	Q3
TSG	0-2	0.03849235813923021	Q2
TSG	0-2	0.159705968544724	Q1
TSG	0-2	0.006695335941984957	Q1
TSG	10+	0.0	Q3
TSG	0-2	0.10552714175755863	Q1
TSG	0-2	0.08276015112354315	Q1
TSG	0-2	0.03548548318253573	Q2
TSG	10+	0.0062489345418933456	Q3
TSG	0-2	0.08335278696659316	Q1
TSG	10+	0.00014619923633502744	Q3
TSG	0-2	0.14096879743827298	Q1
TSG	10+	0.003024492544963116	Q3
TSG	0-2	0.18119756802934645	Q2
TSG	5-10	0.0006661410290290834	Q3
TSG	0-2	0.11163544034739828	Q2
TSG	10+	0.0004781322368570446	Q3
TSG	0-2	0.2445103913798465	Q1
TSG	0-2	0.05841182166472122	Q2
TSG	0-2	0.0795426844196598	Q2
TSG	10+	0.016748345400861765	Q3
TSG	0-2	0.0010752222852599413	Q3
TSG	2-5	0.08102550749769018	Q2
TSG	10+	0.0007540854893137624	Q3
TSG	0-2	0.06934853401050158	Q1
TSG	0-2	0.06344939920732058	Q2
TSG	0-2	0.05431266249137567	Q1
